Gmt time,Open,High,Low,Close,Volume
02.04.2018 00:00:00.000,106.320,106.367,106.275,106.321,2791.5199999999995
02.04.2018 00:15:00.000,106.321,106.321,106.218,106.223,1955.69
02.04.2018 00:30:00.000,106.224,106.253,106.186,106.248,1592.7899999999997
02.04.2018 00:45:00.000,106.249,106.304,106.236,106.281,2203.88
02.04.2018 01:00:00.000,106.282,106.288,106.231,106.276,1781.8500000000001
02.04.2018 01:15:00.000,106.279,106.340,106.262,106.317,1800.8
02.04.2018 01:30:00.000,106.318,106.341,106.281,106.326,1025.17
02.04.2018 01:45:00.000,106.326,106.381,106.320,106.337,1672.01
02.04.2018 02:00:00.000,106.336,106.350,106.291,106.301,1218.48
02.04.2018 02:15:00.000,106.301,106.328,106.280,106.323,1323.5499999999997
02.04.2018 02:30:00.000,106.321,106.332,106.296,106.330,1242.13
02.04.2018 02:45:00.000,106.330,106.341,106.307,106.326,1227.3599999999997
02.04.2018 03:00:00.000,106.325,106.338,106.304,106.314,870.71
02.04.2018 03:15:00.000,106.314,106.351,106.313,106.346,827.9000000000001
02.04.2018 03:30:00.000,106.346,106.363,106.334,106.359,645.51
02.04.2018 03:45:00.000,106.358,106.390,106.352,106.357,1398.66
02.04.2018 04:00:00.000,106.358,106.369,106.316,106.326,1151.61
02.04.2018 04:15:00.000,106.326,106.332,106.313,106.319,846.91
02.04.2018 04:30:00.000,106.319,106.336,106.303,106.314,1271.95
02.04.2018 04:45:00.000,106.313,106.331,106.310,106.331,771.91
02.04.2018 05:00:00.000,106.330,106.354,106.324,106.342,669.28
02.04.2018 05:15:00.000,106.342,106.377,106.327,106.375,652.2000000000002
02.04.2018 05:30:00.000,106.377,106.377,106.339,106.341,936.3000000000002
02.04.2018 05:45:00.000,106.341,106.341,106.300,106.313,1248.5900000000001
02.04.2018 06:00:00.000,106.312,106.324,106.284,106.318,992.77
02.04.2018 06:15:00.000,106.318,106.348,106.318,106.341,795.39
02.04.2018 06:30:00.000,106.342,106.354,106.325,106.344,612.4200000000001
02.04.2018 06:45:00.000,106.343,106.361,106.328,106.330,482.71
02.04.2018 07:00:00.000,106.329,106.331,106.292,106.315,664.4900000000001
02.04.2018 07:15:00.000,106.316,106.330,106.310,106.314,274.65999999999997
02.04.2018 07:30:00.000,106.315,106.322,106.294,106.298,650.4599999999999
02.04.2018 07:45:00.000,106.297,106.300,106.276,106.290,636.56
02.04.2018 08:00:00.000,106.289,106.306,106.283,106.300,468.82
02.04.2018 08:15:00.000,106.299,106.317,106.283,106.301,279.52000000000004
02.04.2018 08:30:00.000,106.302,106.311,106.288,106.289,427.17999999999995
02.04.2018 08:45:00.000,106.289,106.297,106.268,106.283,374.46000000000004
02.04.2018 09:00:00.000,106.283,106.286,106.263,106.284,332.51
02.04.2018 09:15:00.000,106.285,106.285,106.273,106.275,203.65000000000003
02.04.2018 09:30:00.000,106.275,106.280,106.267,106.276,169.65
02.04.2018 09:45:00.000,106.276,106.292,106.274,106.291,121.83
02.04.2018 10:00:00.000,106.292,106.313,106.292,106.303,457.1999999999999
02.04.2018 10:15:00.000,106.303,106.315,106.295,106.303,295.90000000000003
02.04.2018 10:30:00.000,106.303,106.318,106.302,106.307,364.80000000000007
02.04.2018 10:45:00.000,106.308,106.313,106.285,106.285,330.61
02.04.2018 11:00:00.000,106.287,106.299,106.271,106.274,596.0499999999998
02.04.2018 11:15:00.000,106.274,106.307,106.264,106.284,693.95
02.04.2018 11:30:00.000,106.283,106.286,106.264,106.285,904.0900000000001
02.04.2018 11:45:00.000,106.285,106.307,106.274,106.280,674.92
02.04.2018 12:00:00.000,106.279,106.332,106.267,106.325,1443.19
02.04.2018 12:15:00.000,106.324,106.363,106.314,106.357,1604.94
02.04.2018 12:30:00.000,106.356,106.382,106.330,106.352,1196.41
02.04.2018 12:45:00.000,106.353,106.429,106.343,106.427,1516.84
02.04.2018 13:00:00.000,106.426,106.448,106.383,106.385,1690.7699999999995
02.04.2018 13:15:00.000,106.390,106.412,106.355,106.376,1884.28
02.04.2018 13:30:00.000,106.374,106.428,106.341,106.396,2859.21
02.04.2018 13:45:00.000,106.398,106.406,106.350,106.353,2373.51
02.04.2018 14:00:00.000,106.352,106.439,106.339,106.357,2896.48
02.04.2018 14:15:00.000,106.356,106.391,106.315,106.325,2490.06
02.04.2018 14:30:00.000,106.324,106.326,106.208,106.245,2235.42
02.04.2018 14:45:00.000,106.245,106.282,106.217,106.220,2372.5
02.04.2018 15:00:00.000,106.219,106.230,106.090,106.108,2751.8899999999994
02.04.2018 15:15:00.000,106.109,106.113,106.052,106.090,2531.43
02.04.2018 15:30:00.000,106.089,106.093,105.944,105.997,2743.54
02.04.2018 15:45:00.000,105.998,106.052,105.965,105.995,2482.71
02.04.2018 16:00:00.000,105.995,106.052,105.987,106.026,2756.3
02.04.2018 16:15:00.000,106.030,106.095,105.998,106.069,2136.5
02.04.2018 16:30:00.000,106.067,106.121,106.063,106.083,2033.4499999999998
02.04.2018 16:45:00.000,106.083,106.083,106.010,106.014,2469.87
02.04.2018 17:00:00.000,106.012,106.034,105.975,105.977,2899.4199999999996
02.04.2018 17:15:00.000,105.978,105.992,105.859,105.859,3168.9399999999996
02.04.2018 17:30:00.000,105.859,105.876,105.718,105.718,3712.38
02.04.2018 17:45:00.000,105.719,105.732,105.666,105.667,3327.0499999999997
02.04.2018 18:00:00.000,105.666,105.768,105.657,105.761,4119.46
02.04.2018 18:15:00.000,105.761,105.788,105.743,105.782,3368.8600000000006
02.04.2018 18:30:00.000,105.781,105.829,105.768,105.778,3021.46
02.04.2018 18:45:00.000,105.777,105.872,105.763,105.848,2659.45
02.04.2018 19:00:00.000,105.847,105.895,105.820,105.890,1850.13
02.04.2018 19:15:00.000,105.892,105.907,105.834,105.846,2257.9500000000003
02.04.2018 19:30:00.000,105.845,105.907,105.831,105.907,2748.9100000000003
02.04.2018 19:45:00.000,105.907,105.946,105.879,105.898,2430.63
02.04.2018 20:00:00.000,105.897,105.938,105.894,105.927,904.2500000000001
02.04.2018 20:15:00.000,105.928,105.947,105.918,105.926,722.1199999999999
02.04.2018 20:30:00.000,105.926,105.926,105.902,105.910,399.17
02.04.2018 20:45:00.000,105.911,105.919,105.878,105.878,648.3399999999999
02.04.2018 21:00:00.000,105.878,105.893,105.816,105.872,2388.1299999999997
02.04.2018 21:15:00.000,105.874,105.909,105.861,105.870,2155.4399999999996
02.04.2018 21:30:00.000,105.871,105.911,105.858,105.873,1273.5700000000002
02.04.2018 21:45:00.000,105.873,105.883,105.822,105.847,902.3600000000001
02.04.2018 22:00:00.000,105.847,105.879,105.845,105.871,643.1000000000001
02.04.2018 22:15:00.000,105.871,105.887,105.865,105.874,353.66999999999996
02.04.2018 22:30:00.000,105.880,105.883,105.833,105.844,386.18
02.04.2018 22:45:00.000,105.844,105.856,105.834,105.834,360.71
02.04.2018 23:00:00.000,105.833,105.848,105.790,105.802,731.47
02.04.2018 23:15:00.000,105.801,105.828,105.793,105.802,725.42
02.04.2018 23:30:00.000,105.802,105.803,105.738,105.765,1386.26
02.04.2018 23:45:00.000,105.765,105.820,105.744,105.795,961.7700000000001
03.04.2018 00:00:00.000,105.796,105.842,105.720,105.830,1782.4299999999998
03.04.2018 00:15:00.000,105.830,105.854,105.728,105.751,2323.86
03.04.2018 00:30:00.000,105.752,105.785,105.692,105.777,1988.04
03.04.2018 00:45:00.000,105.779,105.834,105.751,105.810,1666.8500000000001
03.04.2018 01:00:00.000,105.809,105.887,105.799,105.842,2180.89
03.04.2018 01:15:00.000,105.841,105.936,105.836,105.899,2111.08
03.04.2018 01:30:00.000,105.899,105.935,105.880,105.922,1874.12
03.04.2018 01:45:00.000,105.923,105.927,105.860,105.861,1618.4400000000003
03.04.2018 02:00:00.000,105.861,105.883,105.819,105.838,1504.6299999999999
03.04.2018 02:15:00.000,105.837,105.878,105.832,105.860,1185.8899999999999
03.04.2018 02:30:00.000,105.859,105.953,105.854,105.938,1584.5000000000002
03.04.2018 02:45:00.000,105.937,105.939,105.899,105.904,785.49
03.04.2018 03:00:00.000,105.904,105.927,105.888,105.888,977.0899999999999
03.04.2018 03:15:00.000,105.891,105.902,105.868,105.894,1195.6000000000001
03.04.2018 03:30:00.000,105.892,105.976,105.887,105.934,1822.1699999999998
03.04.2018 03:45:00.000,105.933,105.951,105.920,105.949,803.19
03.04.2018 04:00:00.000,105.948,105.976,105.932,105.942,1194.1399999999999
03.04.2018 04:15:00.000,105.943,105.975,105.921,105.975,760.9599999999999
03.04.2018 04:30:00.000,105.974,105.975,105.925,105.931,942.86
03.04.2018 04:45:00.000,105.931,105.961,105.925,105.936,713.17
03.04.2018 05:00:00.000,105.936,105.976,105.927,105.936,1005.9400000000002
03.04.2018 05:15:00.000,105.941,105.970,105.902,105.907,1633.9299999999998
03.04.2018 05:30:00.000,105.906,105.922,105.873,105.919,1433.0300000000002
03.04.2018 05:45:00.000,105.923,106.036,105.922,105.988,1789.1000000000001
03.04.2018 06:00:00.000,105.986,106.002,105.919,105.956,1477.7799999999997
03.04.2018 06:15:00.000,105.955,106.064,105.955,106.038,1998.3200000000002
03.04.2018 06:30:00.000,106.039,106.070,105.998,106.008,1842.78
03.04.2018 06:45:00.000,106.008,106.025,105.758,105.897,2953.6800000000003
03.04.2018 07:00:00.000,105.895,106.026,105.893,105.998,2895.29
03.04.2018 07:15:00.000,105.998,106.037,105.946,106.027,2483.09
03.04.2018 07:30:00.000,106.026,106.092,106.020,106.058,2224.1699999999996
03.04.2018 07:45:00.000,106.058,106.060,106.014,106.042,2031.31
03.04.2018 08:00:00.000,106.044,106.191,106.039,106.183,2618.98
03.04.2018 08:15:00.000,106.183,106.183,106.127,106.138,1729.72
03.04.2018 08:30:00.000,106.139,106.167,106.095,106.128,1979.16
03.04.2018 08:45:00.000,106.128,106.156,106.097,106.099,1653.62
03.04.2018 09:00:00.000,106.097,106.106,106.060,106.097,1584.44
03.04.2018 09:15:00.000,106.095,106.122,106.056,106.117,1767.23
03.04.2018 09:30:00.000,106.117,106.190,106.117,106.187,2007.4500000000003
03.04.2018 09:45:00.000,106.188,106.207,106.161,106.202,1848.4
03.04.2018 10:00:00.000,106.202,106.237,106.156,106.157,1641.8000000000004
03.04.2018 10:15:00.000,106.157,106.167,106.129,106.141,1581.2999999999995
03.04.2018 10:30:00.000,106.141,106.237,106.141,106.234,1693.32
03.04.2018 10:45:00.000,106.235,106.268,106.197,106.197,1786.6
03.04.2018 11:00:00.000,106.199,106.230,106.175,106.216,1916.49
03.04.2018 11:15:00.000,106.215,106.230,106.160,106.212,2038.2
03.04.2018 11:30:00.000,106.212,106.273,106.212,106.250,2145.59
03.04.2018 11:45:00.000,106.250,106.265,106.230,106.248,1821.21
03.04.2018 12:00:00.000,106.247,106.299,106.232,106.242,2010.7
03.04.2018 12:15:00.000,106.245,106.258,106.202,106.253,1902.02
03.04.2018 12:30:00.000,106.254,106.283,106.209,106.243,2077.61
03.04.2018 12:45:00.000,106.245,106.302,106.225,106.293,2176.6
03.04.2018 13:00:00.000,106.296,106.405,106.270,106.388,2489.8
03.04.2018 13:15:00.000,106.389,106.539,106.362,106.527,3345.52
03.04.2018 13:30:00.000,106.525,106.575,106.510,106.531,3991.0699999999997
03.04.2018 13:45:00.000,106.530,106.558,106.423,106.465,3605.4800000000005
03.04.2018 14:00:00.000,106.464,106.484,106.380,106.405,4236.46
03.04.2018 14:15:00.000,106.407,106.471,106.388,106.471,3421.92
03.04.2018 14:30:00.000,106.471,106.551,106.463,106.534,4066.2300000000005
03.04.2018 14:45:00.000,106.536,106.593,106.525,106.556,4161.21
03.04.2018 15:00:00.000,106.556,106.578,106.505,106.523,3286.0300000000007
03.04.2018 15:15:00.000,106.523,106.546,106.495,106.528,2740.91
03.04.2018 15:30:00.000,106.524,106.540,106.458,106.517,2763.5000000000005
03.04.2018 15:45:00.000,106.518,106.532,106.438,106.439,2734.6899999999996
03.04.2018 16:00:00.000,106.441,106.498,106.441,106.455,2262.0099999999998
03.04.2018 16:15:00.000,106.455,106.476,106.391,106.406,2289.38
03.04.2018 16:30:00.000,106.404,106.479,106.397,106.463,2144.54
03.04.2018 16:45:00.000,106.463,106.469,106.418,106.441,1768.38
03.04.2018 17:00:00.000,106.441,106.456,106.407,106.425,2343.3999999999996
03.04.2018 17:15:00.000,106.425,106.532,106.424,106.504,2442.53
03.04.2018 17:30:00.000,106.504,106.544,106.480,106.544,2151.03
03.04.2018 17:45:00.000,106.544,106.578,106.518,106.561,2031.06
03.04.2018 18:00:00.000,106.561,106.572,106.498,106.501,2412.65
03.04.2018 18:15:00.000,106.500,106.519,106.473,106.499,2052
03.04.2018 18:30:00.000,106.497,106.497,106.421,106.421,2024.41
03.04.2018 18:45:00.000,106.421,106.578,106.421,106.573,3198.7
03.04.2018 19:00:00.000,106.571,106.654,106.535,106.565,3851.4200000000005
03.04.2018 19:15:00.000,106.562,106.651,106.554,106.639,3467.56
03.04.2018 19:30:00.000,106.639,106.641,106.564,106.598,2566.86
03.04.2018 19:45:00.000,106.597,106.655,106.596,106.647,2270.4900000000002
03.04.2018 20:00:00.000,106.650,106.650,106.591,106.614,721.39
03.04.2018 20:15:00.000,106.614,106.631,106.594,106.630,568.7699999999999
03.04.2018 20:30:00.000,106.630,106.653,106.626,106.632,411.08
03.04.2018 20:45:00.000,106.632,106.632,106.595,106.607,544.13
03.04.2018 21:00:00.000,106.606,106.654,106.598,106.649,1215.67
03.04.2018 21:15:00.000,106.649,106.651,106.629,106.641,982.3900000000001
03.04.2018 21:30:00.000,106.641,106.653,106.637,106.642,767.19
03.04.2018 21:45:00.000,106.642,106.643,106.591,106.594,1128.38
03.04.2018 22:00:00.000,106.593,106.618,106.561,106.563,1220.87
03.04.2018 22:15:00.000,106.563,106.570,106.518,106.540,868.19
03.04.2018 22:30:00.000,106.538,106.558,106.504,106.520,329.41999999999996
03.04.2018 22:45:00.000,106.520,106.524,106.494,106.503,398.2099999999999
03.04.2018 23:00:00.000,106.505,106.541,106.505,106.538,566.17
03.04.2018 23:15:00.000,106.538,106.540,106.521,106.536,411.44000000000005
03.04.2018 23:30:00.000,106.535,106.545,106.491,106.498,894.22
03.04.2018 23:45:00.000,106.499,106.507,106.425,106.441,1352.7399999999998
04.04.2018 00:00:00.000,106.445,106.461,106.409,106.452,1947.3900000000003
04.04.2018 00:15:00.000,106.451,106.481,106.431,106.464,1552.96
04.04.2018 00:30:00.000,106.464,106.567,106.464,106.544,2622.0100000000007
04.04.2018 00:45:00.000,106.543,106.590,106.494,106.523,2833.7399999999993
04.04.2018 01:00:00.000,106.525,106.552,106.431,106.475,2886.01
04.04.2018 01:15:00.000,106.475,106.542,106.475,106.531,1749.7600000000004
04.04.2018 01:30:00.000,106.532,106.584,106.481,106.488,2323.3200000000006
04.04.2018 01:45:00.000,106.489,106.528,106.471,106.514,1907.53
04.04.2018 02:00:00.000,106.514,106.546,106.476,106.483,1895.0700000000002
04.04.2018 02:15:00.000,106.483,106.514,106.465,106.499,1230.04
04.04.2018 02:30:00.000,106.499,106.515,106.474,106.487,1659.2400000000002
04.04.2018 02:45:00.000,106.487,106.494,106.459,106.476,676.61
04.04.2018 03:00:00.000,106.478,106.523,106.477,106.503,1151.6299999999999
04.04.2018 03:15:00.000,106.502,106.560,106.497,106.541,1166.75
04.04.2018 03:30:00.000,106.541,106.542,106.464,106.496,1548.3899999999996
04.04.2018 03:45:00.000,106.497,106.516,106.472,106.506,1213.89
04.04.2018 04:00:00.000,106.507,106.515,106.485,106.509,1090.68
04.04.2018 04:15:00.000,106.508,106.515,106.487,106.492,739.73
04.04.2018 04:30:00.000,106.490,106.536,106.489,106.533,891.8100000000001
04.04.2018 04:45:00.000,106.533,106.557,106.508,106.557,1415.22
04.04.2018 05:00:00.000,106.556,106.564,106.514,106.559,1304.63
04.04.2018 05:15:00.000,106.561,106.590,106.549,106.584,1228.05
04.04.2018 05:30:00.000,106.583,106.591,106.538,106.550,1595.1399999999999
04.04.2018 05:45:00.000,106.549,106.561,106.496,106.540,1539.2199999999998
04.04.2018 06:00:00.000,106.540,106.579,106.529,106.570,2041.6100000000001
04.04.2018 06:15:00.000,106.570,106.621,106.559,106.588,1599.19
04.04.2018 06:30:00.000,106.586,106.636,106.557,106.635,1351.4800000000002
04.04.2018 06:45:00.000,106.635,106.687,106.611,106.653,1340.2499999999998
04.04.2018 07:00:00.000,106.650,106.650,106.515,106.522,2773.94
04.04.2018 07:15:00.000,106.523,106.567,106.499,106.515,2225.46
04.04.2018 07:30:00.000,106.515,106.516,106.335,106.381,2341.04
04.04.2018 07:45:00.000,106.381,106.381,106.193,106.204,4700.16
04.04.2018 08:00:00.000,106.205,106.213,105.990,106.049,4829.219999999999
04.04.2018 08:15:00.000,106.049,106.119,106.036,106.087,3268.85
04.04.2018 08:30:00.000,106.090,106.181,106.059,106.169,3365.1800000000003
04.04.2018 08:45:00.000,106.169,106.221,106.115,106.197,2730.57
04.04.2018 09:00:00.000,106.199,106.210,106.152,106.167,2504.1399999999994
04.04.2018 09:15:00.000,106.169,106.174,106.106,106.149,2352.51
04.04.2018 09:30:00.000,106.149,106.155,106.119,106.147,1786.4600000000005
04.04.2018 09:45:00.000,106.147,106.173,106.124,106.169,1473.21
04.04.2018 10:00:00.000,106.170,106.176,106.082,106.104,6831.5399
04.04.2018 10:15:00.000,106.105,106.122,105.992,106.041,3215.6000000000004
